,Unnamed: 0,question,personal
6529,48280.0,How do you handle moments when things don’t go as expected,1
670,878.0,How easy it is to make you fall for someone ,1
2446,2339.0, How do you build a successful career,1
4354,1062.0,How different are you from your family ,1
6933,88685.0,How do you manage your emotions in high-pressure situations,1
1523,125.0,Do you have any siblings  Then who usually wins in the sibling fights ,1
2521,1552.0,What is the fastest land animal ,0
3474,2576.0,Who is the current Chancellor of Germany ,0
492,880.0,In what year did the Berlin Wall fall ,0
3160,1357.0,What is the chemical symbol for bismuth ,0
6097,5048.0,What do you feel most grateful for right now,1
4200,3213.0,How do I find a job in this city ,0
2911,3455.0,How do I get a free tourist map ,0
5116,2587.0,How do you cope with personal challenges,1
4432,1376.0,Which Street Fighter character wears a white outfit and a red headband ,0
5200,1617.0,What is the best way to improve your writing skills,1
4281,2336.0,What is the term for a baby rabbit ,0
5227,2290.0,How do you handle work-related stress,1
2158,666.0,How much of my energy do I spend on other people’s opinions  Is it worth it ,1
1554,1409.0,Do you have any talents that you never use ,1
4888,2572.0,Who is the founder of Amazon ,0
6786,73938.0,How do you cope with moments when you feel disconnected from others,1
2940,2532.0, What is the longest highway in North America,0
1034,3154.0,What is the nearest parking lot ,0
1611,896.0,What is the one thing that surprised you most when you started working ,1
1922,1491.0,What is your favorite way to relax on vacation ,1
3721,1002.0,Do you have a weird Halloween costume ,1
3727,2515.0,What is the chemical symbol for nitrogen ,0
2412,1598.0, What is the longest living fish species,0
1951,526.0,In what year was the first-ever Wimbledon Championship held ,0
1798,1167.0,What is the name of the open-source operating system created by Linus Torvalds ,0
2000,90.0,Do you think it is worth it to become famous after death ,1
788,650.0,Who is seen as the most famous female American fashion icon of the 1960’s ,0
6230,18381.0,What’s the most significant change you’ve made in your life,1
1662,2145.0,What’s the best way to prepare for an interview ,1
786,1016.0,"What criminal organization, led by Al Capone, was notorious during the Prohibition era in the United States ",0
1155,2574.0, What is the most famous historical landmark in the world,0
4892,2092.0,What’s the best way to stay disciplined ,1
1570,2626.0,Who was the first person to receive the Nobel Prize ,0
876,108.0,Where do you see yourself in five years ,1
6725,67877.0,What’s one strategy you use to bounce back from failure,1
6950,90302.0,What’s one thing you do to manage feelings of anxiety,1
6538,49189.0,What’s one thing you’ve done that helped you let go of past regrets,1
162,544.0,"If you were a super-hero, what powers would you have ",1
3090,2546.0, How do you motivate yourself to study,1
6537,49088.0,How do you work on developing a more positive mindset,1
5751,1381.0,What is the best way to stay organized at home,1
5066,1713.0,What is the capital of Germany,0
974,700.0,Who designed the Sydney Opera House ,0
4948,1169.0,Which element is said to keep bones strong ,0
3084,3191.0,How many languages are spoken in this country ,0
3484,1904.0,What’s your favorite way to help others ,1
3535,3464.0,What time does the coffee shop open ,0
3266,1356.0,What is the largest land animal ,0
4898,1500.0,What’s the best concert you’ve ever attended ,1
6909,86261.0,How do you make time for fun when life feels like a constant grind,1
4389,351.0,How many cards are there in a deck of Uno ,0
